연월,시간대,지역,평균기온,중앙기온,최저기온,최고기온,기온표준편차,평균습도,중앙습도,최저습도,최고습도,습도표준편차,평균풍속,중앙풍속,최저풍속,최고풍속,풍속표준편차
201701,0,대구,-0.2225806451612903,0.1,-6.7,6.6,3.452893441489263,57.61290322580645,54.0,27.0,87.0,18.253177658250518,1.941935483870968,1.4,0.0,6.4,1.6698850646174
201701,1,대구,-0.7258064516129032,-0.5,-7.2,6.1,3.484151521957245,60.83870967741935,59.0,28.0,90.0,18.638842550247144,1.8387096774193548,1.2,0.0,6.0,1.6040942240310863
201701,2,대구,-1.1193548387096774,-0.8,-7.5,5.5,3.6145464772996267,63.03225806451613,64.0,31.0,91.0,19.11802617246829,1.929032258064516,1.7,0.0,5.5,1.6984686334827415
201701,3,대구,-1.4096774193548387,-1.6,-7.6,7.5,3.920489326492267,64.09677419354838,65.0,31.0,94.0,18.401729698970648,1.9516129032258065,1.3,0.0,5.2,1.5048523665666642
201701,4,대구,-1.664516129032258,-1.5,-7.7,7.4,4.122260576196576,64.70967741935483,67.0,32.0,95.0,18.67831817622971,1.932258064516129,1.3,0.1,6.4,1.5280460500857938
201701,5,대구,-1.7419354838709677,-1.6,-7.8,7.7,4.308655953894701,66.3225806451613,69.0,32.0,96.0,18.25447360105497,2.2193548387096773,1.7,0.1,5.7,1.6628127484954942
201701,6,대구,-2.1548387096774193,-2.2,-8.5,6.4,4.29502337670607,67.09677419354838,70.0,33.0,95.0,17.115986365013022,2.164516129032258,1.4,0.0,5.5,1.7872788230709413
201701,7,대구,-2.3806451612903223,-2.9,-8.8,6.5,4.300497595615242,67.25806451612904,69.0,32.0,96.0,16.621206819272555,2.0580645161290323,1.5,0.0,6.0,1.757417460090874
201701,8,대구,-2.2870967741935484,-2.9,-7.7,6.1,4.265734945311993,66.19354838709677,63.0,27.0,96.0,17.224825794646343,2.0999999999999996,1.2,0.1,6.9,1.9616319736382766
201701,9,대구,-1.3838709677419356,-2.2,-6.9,6.0,3.7906109247449415,61.87096774193548,61.0,24.0,94.0,18.521594487667404,2.267741935483871,1.3,0.0,7.3,2.1260898533496015
201701,10,대구,0.21290322580645157,0.1,-5.9,6.7,3.5259742800616,55.16129032258065,53.0,20.0,90.0,18.206403221931833,2.7483870967741937,2.4,0.1,8.0,2.439381201280622
201701,11,대구,1.8290322580645162,1.7,-4.3,8.0,3.400018975279118,47.41935483870968,46.0,19.0,80.0,16.580659805022616,3.083870967741935,2.6,0.0,8.2,2.3872015379510163
201701,12,대구,3.1225806451612903,2.9,-3.1,9.2,3.5363549668568206,41.03225806451613,38.0,19.0,71.0,14.709370870225875,3.5290322580645164,2.7,0.3,9.5,2.4647100638664847
201701,13,대구,4.438709677419355,4.3,-3.0,10.9,3.6424970756661645,36.70967741935484,33.0,14.0,76.0,14.72683163115791,3.6225806451612903,3.3,0.3,7.7,2.0883342129425153
201701,14,대구,5.229032258064516,5.0,-1.6,12.2,3.64538004862658,34.54838709677419,32.0,13.0,78.0,15.400949558771625,3.564516129032258,3.4,0.6,6.9,1.7585123233568338
201701,15,대구,5.629032258064516,6.1,-1.5,12.2,3.6988460856855605,33.70967741935484,32.0,13.0,75.0,14.949233087100927,3.661290322580645,3.3,1.0,8.4,2.0969306806782844
201701,16,대구,5.490322580645161,5.9,-2.3,12.6,3.881009734481451,34.29032258064516,32.0,13.0,76.0,16.689704507843746,3.403225806451613,3.0,0.6,6.9,1.7428872350150755
201701,17,대구,4.893548387096774,5.3,-2.9,11.6,3.714290913384049,35.38709677419355,34.0,13.0,74.0,15.474015680821918,3.0387096774193547,2.7,0.6,6.3,1.6582475527606118
