연월,시간대,지역,평균기온,중앙기온,최저기온,최고기온,기온표준편차,평균습도,중앙습도,최저습도,최고습도,습도표준편차,평균풍속,중앙풍속,최저풍속,최고풍속,풍속표준편차
201701,0,부산,2.738709677419355,3.3,-6.0,9.3,4.140988402089114,50.25806451612903,48.0,22.0,94.0,16.26646395079046,3.2193548387096773,3.0,0.2,6.5,1.6779788148918349
201701,1,부산,2.4612903225806453,2.8,-6.3,8.7,4.1141769058832685,51.45161290322581,51.0,19.0,92.0,16.36630422479353,3.325806451612903,3.1,0.0,7.8,1.8947238570893796
201701,2,부산,2.2096774193548385,3.0,-6.7,8.5,4.198122980468745,51.58064516129032,49.0,17.0,92.0,16.889393503119816,3.541935483870968,3.4,0.3,7.5,1.8424212680688037
201701,3,부산,1.9838709677419355,2.3,-7.0,8.0,4.272867637718535,51.096774193548384,49.0,20.0,91.0,17.000695747938632,3.732258064516129,3.3,0.0,9.2,2.1680078561933604
201701,4,부산,1.7258064516129032,2.0,-7.2,8.0,4.298446831274097,51.483870967741936,49.0,17.0,87.0,16.832252706717416,3.4709677419354836,3.6,0.3,7.0,1.9437409889844028
201701,5,부산,1.4580645161290324,1.6,-7.4,7.7,4.360028607975594,52.16129032258065,55.0,22.0,87.0,15.477072880433061,3.3451612903225807,2.7,0.2,8.6,2.165000186247478
201701,6,부산,1.2903225806451613,1.3,-7.5,7.7,4.332540043185574,51.903225806451616,53.0,21.0,87.0,15.638317980118952,3.264516129032258,2.7,0.2,8.8,2.3749453870347943
201701,7,부산,1.064516129032258,0.9,-7.7,7.5,4.316522395563105,52.58064516129032,54.0,26.0,88.0,15.006163608216427,3.1258064516129034,3.1,0.0,8.0,2.1674820632761085
201701,8,부산,1.2548387096774194,1.2,-7.3,7.7,4.191088856902418,51.806451612903224,51.0,24.0,85.0,15.149079960707644,3.6516129032258067,3.2,0.1,8.3,2.306060272086275
201701,9,부산,2.5580645161290323,2.7,-5.7,8.3,3.980182089096627,49.03225806451613,49.0,22.0,85.0,16.347240074841874,3.6225806451612903,3.5,0.5,9.4,2.1720512083311716
201701,10,부산,4.141935483870968,4.1,-3.9,10.0,4.043412271299938,45.45161290322581,44.0,17.0,91.0,16.776647876691417,3.5290322580645164,3.5,0.7,8.0,1.8930035302638497
201701,11,부산,5.438709677419355,5.5,-2.2,11.8,4.121381436634634,42.645161290322584,42.0,16.0,93.0,16.183424415322353,3.338709677419355,3.1,1.2,6.9,1.4042026015630933
201701,12,부산,6.867741935483871,7.2,-0.8,13.3,3.9638690776205188,40.064516129032256,38.0,16.0,95.0,16.178041669437764,3.338709677419355,3.3,1.2,6.9,1.3323356482395463
201701,13,부산,7.609677419354839,8.0,0.6,13.7,3.692546983561136,38.25806451612903,33.0,19.0,94.0,16.449858645665184,3.351612903225807,3.4,1.3,7.9,1.5041877027689365
201701,14,부산,8.12258064516129,8.2,1.6,14.8,3.447869842614844,37.935483870967744,33.0,17.0,94.0,16.73904713311756,3.467741935483871,3.2,1.3,7.1,1.2501698809293065
201701,15,부산,8.209677419354838,8.3,2.0,14.1,3.2945768406792078,38.483870967741936,35.0,14.0,94.0,18.034912378942376,3.512903225806452,3.8,1.1,6.4,1.3086231786331441
201701,16,부산,7.580645161290323,8.1,1.4,13.5,3.373862213629824,38.806451612903224,36.0,16.0,93.0,18.522813599880394,3.3741935483870966,2.9,1.2,10.0,1.8027696732038891
201701,17,부산,6.767741935483872,6.8,0.5,11.9,3.22473638165708,40.516129032258064,37.0,16.0,91.0,18.213311922404333,3.2193548387096773,2.9,1.1,6.5,1.5567957166005457
201701,18,부산,5.306451612903226,5.9,-1.5,10.8,3.3966586997490116,43.0,38.0,18.0,91.0,19.214577799160722,2.7838709677419353,2.5,0.4,5.7,1.434595593234913
201701,19,부산,4.574193548387097,5.6,-2.5,10.3,3.524766445400838,44.0,38.0,18.0,93.0,18.943776462645108,3.0354838709677416,2.8,0.0,7.9,1.8988678007515905
201701,20,부산,4.067741935483871,5.0,-3.2,10.2,3.5791420849857483,44.064516129032256,38.0,18.0,94.0,18.42269521337014,3.0258064516129033,2.7,0.7,6.9,1.6085123027061337
