소방서,연월,시간대,지역,이송수,출동수,평균기온
강남소방서,201701,0.0,서울,31.0,114,-2.6322580645161286
강남소방서,201701,1.0,서울,23.0,95,-2.92258064516129
강남소방서,201701,2.0,서울,26.0,73,-3.196774193548387
강남소방서,201701,3.0,서울,23.0,81,-3.541935483870968
강남소방서,201701,4.0,서울,28.0,63,-3.9516129032258074
강남소방서,201701,5.0,서울,10.0,54,-4.283870967741936
강남소방서,201701,6.0,서울,25.0,81,-4.52258064516129
강남소방서,201701,7.0,서울,33.0,77,-4.648387096774194
강남소방서,201701,8.0,서울,53.0,107,-4.767741935483872
강남소방서,201701,9.0,서울,64.0,120,-4.196774193548388
강남소방서,201701,10.0,서울,55.0,136,-2.6193548387096777
강남소방서,201701,11.0,서울,40.0,110,-1.0032258064516129
강남소방서,201701,12.0,서울,49.0,110,0.0999999999999999
강남소방서,201701,13.0,서울,41.0,113,1.1580645161290322
강남소방서,201701,14.0,서울,49.0,127,1.8774193548387093
강남소방서,201701,15.0,서울,39.0,121,2.141935483870968
강남소방서,201701,16.0,서울,44.0,108,2.05483870967742
강남소방서,201701,17.0,서울,47.0,119,1.164516129032258
강남소방서,201701,18.0,서울,47.0,109,-0.0129032258064516
강남소방서,201701,19.0,서울,34.0,113,-0.6903225806451614
강남소방서,201701,20.0,서울,33.0,100,-1.3129032258064517
강남소방서,201701,21.0,서울,47.0,123,-1.812903225806452
강남소방서,201701,22.0,서울,26.0,97,-2.2225806451612904
강남소방서,201701,23.0,서울,22.0,132,-2.5870967741935487
강남소방서,201702,0.0,서울,32.0,85,-1.467857142857143
강남소방서,201702,1.0,서울,25.0,68,-1.7964285714285713
강남소방서,201702,2.0,서울,23.0,75,-2.1535714285714285
강남소방서,201702,3.0,서울,22.0,46,-2.4857142857142853
강남소방서,201702,4.0,서울,29.0,44,-2.9
강남소방서,201702,5.0,서울,27.0,53,-3.257142857142857
강남소방서,201702,6.0,서울,28.0,64,-3.5535714285714284
강남소방서,201702,7.0,서울,41.0,82,-3.878571428571429
강남소방서,201702,8.0,서울,79.0,116,-3.95
강남소방서,201702,9.0,서울,77.0,111,-2.7142857142857144
강남소방서,201702,10.0,서울,79.0,116,-0.9892857142857144
강남소방서,201702,11.0,서울,47.0,89,0.6428571428571429
강남소방서,201702,12.0,서울,45.0,103,1.7321428571428572
강남소방서,201702,13.0,서울,39.0,76,2.782142857142857
강남소방서,201702,14.0,서울,54.0,113,3.5107142857142857
강남소방서,201702,15.0,서울,32.0,72,3.789285714285714
강남소방서,201702,16.0,서울,45.0,84,3.803571428571429
강남소방서,201702,17.0,서울,58.0,93,3.4107142857142856
강남소방서,201702,18.0,서울,57.0,92,2.1214285714285714
강남소방서,201702,19.0,서울,48.0,104,1.207142857142857
강남소방서,201702,20.0,서울,44.0,103,0.5642857142857142
강남소방서,201702,21.0,서울,43.0,90,0.0928571428571428
강남소방서,201702,22.0,서울,50.0,112,-0.3071428571428571
강남소방서,201702,23.0,서울,36.0,96,-0.675
강남소방서,201703,0.0,서울,63.0,97,4.406451612903226
강남소방서,201703,1.0,서울,43.0,77,3.9129032258064513
강남소방서,201703,2.0,서울,28.0,53,3.496774193548388
강남소방서,201703,3.0,서울,50.0,66,3.1258064516129034
강남소방서,201703,4.0,서울,39.0,49,2.770967741935484
강남소방서,201703,5.0,서울,54.0,54,2.5354838709677416
강남소방서,201703,6.0,서울,49.0,64,2.303225806451613
강남소방서,201703,7.0,서울,60.0,84,2.06774193548387
강남소방서,201703,8.0,서울,83.0,110,2.7580645161290325
강남소방서,201703,9.0,서울,79.0,117,4.645161290322581
강남소방서,201703,10.0,서울,91.0,125,6.738709677419355
강남소방서,201703,11.0,서울,65.0,106,8.425806451612903
강남소방서,201703,12.0,서울,76.0,114,9.76774193548387
강남소방서,201703,13.0,서울,87.0,122,10.751612903225809
강남소방서,201703,14.0,서울,75.0,110,11.27741935483871
강남소방서,201703,15.0,서울,94.0,134,11.506451612903223
강남소방서,201703,16.0,서울,63.0,94,11.058064516129033
강남소방서,201703,17.0,서울,82.0,121,10.183870967741935
강남소방서,201703,18.0,서울,75.0,122,8.929032258064517
강남소방서,201703,19.0,서울,92.0,132,7.548387096774194
강남소방서,201703,20.0,서울,71.0,106,6.648387096774194
강남소방서,201703,21.0,서울,73.0,117,5.958064516129032
강남소방서,201703,22.0,서울,71.0,108,5.348387096774194
강남소방서,201703,23.0,서울,70.0,127,4.838709677419355
강남소방서,201704,0.0,서울,61.0,119,11.526666666666667
강남소방서,201704,1.0,서울,41.0,94,11.166666666666666
강남소방서,201704,2.0,서울,34.0,76,10.833333333333334
강남소방서,201704,3.0,서울,46.0,70,10.466666666666669
강남소방서,201704,4.0,서울,34.0,63,10.133333333333333
강남소방서,201704,5.0,서울,33.0,69,9.78
강남소방서,201704,6.0,서울,36.0,58,9.52
강남소방서,201704,7.0,서울,45.0,68,9.663333333333332
강남소방서,201704,8.0,서울,101.0,135,11.21
강남소방서,201704,9.0,서울,91.0,122,13.043333333333331
강남소방서,201704,10.0,서울,71.0,105,14.853333333333332
강남소방서,201704,11.0,서울,72.0,112,16.48
강남소방서,201704,12.0,서울,66.0,116,17.673333333333336
강남소방서,201704,13.0,서울,79.0,138,18.21333333333333
강남소방서,201704,14.0,서울,73.0,122,18.746666666666663
강남소방서,201704,15.0,서울,90.0,137,18.90333333333333
강남소방서,201704,16.0,서울,72.0,124,18.446666666666665
강남소방서,201704,17.0,서울,59.0,107,17.743333333333332
강남소방서,201704,18.0,서울,61.0,122,16.62333333333333
강남소방서,201704,19.0,서울,72.0,113,15.203333333333337
강남소방서,201704,20.0,서울,80.0,121,14.106666666666666
강남소방서,201704,21.0,서울,62.0,101,13.373333333333331
강남소방서,201704,22.0,서울,71.0,125,12.733333333333333
강남소방서,201704,23.0,서울,54.0,119,12.173333333333334
강남소방서,201705,0.0,서울,71.0,126,16.700000000000003
강남소방서,201705,1.0,서울,69.0,105,16.24516129032258
강남소방서,201705,2.0,서울,41.0,70,15.8
강남소방서,201705,3.0,서울,34.0,66,15.45483870967742
강남소방서,201705,4.0,서울,59.0,83,15.13225806451613
강남소방서,201705,5.0,서울,42.0,68,14.890322580645162
강남소방서,201705,6.0,서울,36.0,67,14.77741935483871
강남소방서,201705,7.0,서울,48.0,91,15.441935483870967
강남소방서,201705,8.0,서울,90.0,120,17.325806451612905
강남소방서,201705,9.0,서울,87.0,124,19.33870967741936
강남소방서,201705,10.0,서울,86.0,135,21.083870967741937
강남소방서,201705,11.0,서울,97.0,136,22.33870967741936
강남소방서,201705,12.0,서울,86.0,131,23.38064516129032
강남소방서,201705,13.0,서울,81.0,133,24.15806451612903
강남소방서,201705,14.0,서울,69.0,113,24.64516129032258
강남소방서,201705,15.0,서울,84.0,134,24.716129032258067
강남소방서,201705,16.0,서울,54.0,114,24.32258064516129
강남소방서,201705,17.0,서울,85.0,128,23.68064516129032
강남소방서,201705,18.0,서울,73.0,129,22.687096774193545
강남소방서,201705,19.0,서울,72.0,111,21.083870967741937
강남소방서,201705,20.0,서울,77.0,131,19.55806451612903
강남소방서,201705,21.0,서울,67.0,117,18.66774193548387
강남소방서,201705,22.0,서울,58.0,99,18.016129032258064
강남소방서,201705,23.0,서울,57.0,108,17.43548387096774
강남소방서,201706,0.0,서울,62.0,110,20.986666666666668
강남소방서,201706,1.0,서울,56.0,111,20.6
강남소방서,201706,2.0,서울,53.0,106,20.203333333333333
강남소방서,201706,3.0,서울,43.0,66,19.85333333333333
강남소방서,201706,4.0,서울,49.0,77,19.516666666666666
강남소방서,201706,5.0,서울,54.0,76,19.24333333333333
강남소방서,201706,6.0,서울,53.0,91,19.19
강남소방서,201706,7.0,서울,59.0,77,19.846666666666668
강남소방서,201706,8.0,서울,89.0,115,21.266666666666666
강남소방서,201706,9.0,서울,94.0,122,22.683333333333334
강남소방서,201706,10.0,서울,91.0,139,24.11
강남소방서,201706,11.0,서울,93.0,121,25.43
강남소방서,201706,12.0,서울,80.0,143,26.63
강남소방서,201706,13.0,서울,97.0,144,27.473333333333336
강남소방서,201706,14.0,서울,81.0,116,28.040000000000003
강남소방서,201706,15.0,서울,89.0,140,28.16
강남소방서,201706,16.0,서울,77.0,116,27.72
강남소방서,201706,17.0,서울,76.0,133,26.92
강남소방서,201706,18.0,서울,91.0,123,26.023333333333333
강남소방서,201706,19.0,서울,99.0,124,24.80333333333333
강남소방서,201706,20.0,서울,75.0,105,23.42
강남소방서,201706,21.0,서울,110.0,160,22.523333333333333
강남소방서,201706,22.0,서울,76.0,137,21.926666666666662
강남소방서,201706,23.0,서울,80.0,134,21.476666666666667
강남소방서,201707,0.0,서울,75.0,114,25.770967741935483
강남소방서,201707,1.0,서울,76.0,112,25.50967741935484
강남소방서,201707,2.0,서울,52.0,100,25.32258064516129
강남소방서,201707,3.0,서울,55.0,75,25.18064516129032
강남소방서,201707,4.0,서울,51.0,81,24.96451612903226
강남소방서,201707,5.0,서울,51.0,88,24.80967741935484
강남소방서,201707,6.0,서울,64.0,82,24.738709677419354
강남소방서,201707,7.0,서울,79.0,104,24.932258064516127
강남소방서,201707,8.0,서울,110.0,144,25.425806451612903
강남소방서,201707,9.0,서울,106.0,152,26.016129032258064
강남소방서,201707,10.0,서울,115.0,162,26.816129032258065
강남소방서,201707,11.0,서울,93.0,132,27.66774193548387
강남소방서,201707,12.0,서울,100.0,139,28.451612903225808
강남소방서,201707,13.0,서울,98.0,127,29.05483870967742
강남소방서,201707,14.0,서울,107.0,141,29.451612903225808
강남소방서,201707,15.0,서울,96.0,152,29.73548387096774
강남소방서,201707,16.0,서울,95.0,131,29.69032258064516
강남소방서,201707,17.0,서울,83.0,129,29.241935483870968
강남소방서,201707,18.0,서울,109.0,145,28.638709677419357
강남소방서,201707,19.0,서울,66.0,107,27.983870967741936
강남소방서,201707,20.0,서울,111.0,151,27.296774193548387
강남소방서,201707,21.0,서울,88.0,138,26.758064516129032
강남소방서,201707,22.0,서울,87.0,140,26.43548387096774
강남소방서,201707,23.0,서울,66.0,122,26.106451612903225
강남소방서,201708,0.0,서울,88.0,125,24.73548387096774
강남소방서,201708,1.0,서울,56.0,90,24.406451612903226
강남소방서,201708,2.0,서울,64.0,95,24.17419354838709
강남소방서,201708,3.0,서울,44.0,61,23.90322580645161
강남소방서,201708,4.0,서울,50.0,66,23.68064516129032
강남소방서,201708,5.0,서울,47.0,72,23.44516129032258
강남소방서,201708,6.0,서울,63.0,82,23.248387096774195
강남소방서,201708,7.0,서울,73.0,91,23.35483870967742
강남소방서,201708,8.0,서울,118.0,138,24.125806451612902
강남소방서,201708,9.0,서울,115.0,154,25.216129032258067
강남소방서,201708,10.0,서울,100.0,128,26.080645161290324
강남소방서,201708,11.0,서울,81.0,117,26.83870967741936
강남소방서,201708,12.0,서울,87.0,114,27.62258064516129
강남소방서,201708,13.0,서울,93.0,130,28.125806451612902
강남소방서,201708,14.0,서울,71.0,106,28.52258064516129
강남소방서,201708,15.0,서울,93.0,138,28.75483870967742
강남소방서,201708,16.0,서울,95.0,136,28.89032258064516
강남소방서,201708,17.0,서울,93.0,141,28.72903225806452
강남소방서,201708,18.0,서울,87.0,126,28.141935483870967
강남소방서,201708,19.0,서울,94.0,126,27.125806451612902
강남소방서,201708,20.0,서울,106.0,135,26.29032258064516
강남소방서,201708,21.0,서울,79.0,112,25.80322580645161
강남소방서,201708,22.0,서울,69.0,127,25.358064516129037
강남소방서,201708,23.0,서울,88.0,124,24.94193548387097
강남소방서,201709,0.0,서울,83.0,122,20.173333333333336
강남소방서,201709,1.0,서울,65.0,106,19.676666666666662
강남소방서,201709,2.0,서울,51.0,83,19.23
강남소방서,201709,3.0,서울,35.0,53,18.85333333333333
강남소방서,201709,4.0,서울,37.0,59,18.496666666666663
강남소방서,201709,5.0,서울,51.0,56,18.14
강남소방서,201709,6.0,서울,47.0,66,17.85
강남소방서,201709,7.0,서울,84.0,106,17.84333333333333
강남소방서,201709,8.0,서울,121.0,141,19.16333333333333
강남소방서,201709,9.0,서울,107.0,142,21.0
강남소방서,201709,10.0,서울,121.0,149,22.813333333333333
강남소방서,201709,11.0,서울,73.0,120,24.21
강남소방서,201709,12.0,서울,127.0,147,25.2
강남소방서,201709,13.0,서울,108.0,143,25.97
강남소방서,201709,14.0,서울,99.0,121,26.61
강남소방서,201709,15.0,서울,87.0,114,26.93
강남소방서,201709,16.0,서울,85.0,147,26.63
강남소방서,201709,17.0,서울,96.0,123,26.04827586206897
강남소방서,201709,18.0,서울,101.0,133,24.99333333333333
강남소방서,201709,19.0,서울,96.0,132,23.523333333333333
강남소방서,201709,20.0,서울,94.0,119,22.65
강남소방서,201709,21.0,서울,73.0,113,21.866666666666667
강남소방서,201709,22.0,서울,86.0,133,21.186666666666667
강남소방서,201709,23.0,서울,80.0,133,20.6
강남소방서,201710,0.0,서울,71.0,115,14.758064516129032
강남소방서,201710,1.0,서울,75.0,110,14.28064516129032
강남소방서,201710,2.0,서울,51.0,76,13.82258064516129
강남소방서,201710,3.0,서울,52.0,65,13.4
