  value  count     ratio
    강남구 243718 19.494664
    원주시 196266 15.699044
    노원구 186026 14.879961
    강동구 180947 14.473699
    수성구 139399 11.150332
   해운대구 133626 10.688558
    송파구  45588  3.646521
    서초구  26511  2.120578
     동구  22759  1.820461
    도봉구  16547  1.323572
    중랑구  12923  1.033693
    수영구   9743  0.779329
    성북구   6428  0.514167
    달성군   5430  0.434338
    광진구   4719  0.377466
    기장군   4219  0.337472
     남구   4040  0.323154
    강북구   2954  0.236286
    동래구   2335  0.186773
    성동구   1849  0.147899
    금정구   1460  0.116783
    연제구    868  0.069430
     중구    471  0.037675
    용산구    452  0.036155
    횡성군    319  0.025516
   동대문구    286  0.022877
     북구     80  0.006399
    달서구     44  0.003519
    동작구     20  0.001600
     서구     19  0.001520
    NaN     15  0.001200
성남시 분당구     13  0.001040
    종로구     13  0.001040
    평창군     13  0.001040
용인시 처인구     12  0.000960
성남시 수정구     12  0.000960
    관악구     10  0.000800
   영등포구      9  0.000720
    영월군      7  0.000560
   부산진구      7  0.000560
    하남시      3  0.000240
    밀양시      3  0.000240
    청도군      3  0.000240
    경산시      3  0.000240
    강릉시      3  0.000240
    강원도      3  0.000240
    인제군      3  0.000240
