                        value  count     ratio
                    응급구조사(2급) 362775 29.017868
                          간호사 299071 23.922273
                          NaN 281995 22.556388
                    응급구조사(1급) 266808 21.341601
                        구급기타1  33612  2.688577
                           기타   4335  0.346751
          응급구조사(1급),응급구조사(2급)    343  0.027436
          응급구조사(2급),응급구조사(2급)    305  0.024397
          응급구조사(2급),응급구조사(1급)    191  0.015278
                      간호사,간호사    136  0.010878
          응급구조사(1급),응급구조사(1급)    106  0.008479
                간호사,응급구조사(2급)     80  0.006399
                    간호사,구급기타1     69  0.005519
                간호사,응급구조사(1급)     69  0.005519
                응급구조사(2급),간호사     63  0.005039
                응급구조사(1급),간호사     42  0.003360
              응급구조사(2급),구급기타1     29  0.002320
              구급기타1,응급구조사(1급)     29  0.002320
                    구급기타1,간호사     29  0.002320
              응급구조사(1급),구급기타1     24  0.001920
                          무자격     18  0.001440
                  구급기타1,구급기타1     13  0.001040
              구급기타1,응급구조사(2급)     11  0.000880
                       간호사,기타      8  0.000640
                        구급대원2      7  0.000560
                 기타,응급구조사(2급)      2  0.000160
                       기타,간호사      2  0.000160
응급구조사(2급),응급구조사(2급),응급구조사(2급)      1  0.000080
                 응급구조사(1급),기타      1  0.000080
응급구조사(1급),응급구조사(1급),응급구조사(2급)      1  0.000080
    응급구조사(2급),응급구조사(2급),구급기타1      1  0.000080
                 응급구조사(2급),기타      1  0.000080
      응급구조사(2급),간호사,응급구조사(2급)      1  0.000080
