      value   count     ratio
        NaN 1081980 86.546076
      기타 낙상  104281  8.341292
      기타 열상   15239  1.218946
      기타 상해   13736  1.098724
기타 기타(사고부상)    9547  0.763651
   기타 기타 둔상    8783  0.702540
      기타 추락    5196  0.415621
   기타 동물/곤충    2879  0.230287
      기타 기계    1853  0.148219
      기타 자상    1422  0.113744
       기타 물    1380  0.110384
      기타 중독    1078  0.086228
     기타 관통상     682  0.054552
      기타 화염     454  0.036315
     기타 고온체     438  0.035035
    기타 온열손상     228  0.018237
      기타 익수     180  0.014398
     기타 열손상     171  0.013678
      기타 질식     164  0.013118
    기타 전기사고     154  0.012318
     기타 농기계     118  0.009439
    기타 화학물질      66  0.005279
 기타 동물/곤충기타      56  0.004479
    기타 기타폭행      53  0.004239
         낙상      12  0.000960
    기타 자연재해      10  0.000800
       온열손상       4  0.000320
   기타(사고부상)       3  0.000240
         상해       3  0.000240
         추락       3  0.000240
          물       2  0.000160
       화학물질       1  0.000080
         열상       1  0.000080
      동물/곤충       1  0.000080
