         value   count     ratio
           NaN 1232933 98.620596
    기타 기타(질병외)    5738  0.458975
         기타 중독    5312  0.424899
       기타 연기흡입    1892  0.151338
    기타 외력에의한압박    1348  0.107825
기타 이물질에대의한기도막힘     706  0.056472
      기타 목부위기타     596  0.047673
       기타 온열손상     395  0.031596
         기타 익수     377  0.030156
       기타 화학물질     341  0.027276
        기타 열손상     171  0.013678
         기타 화상     159  0.012718
         기타 질식     121  0.009679
       기타 한랭손상      83  0.006639
          온열손상       4  0.000320
         목부위기타       1  0.000080
       기타(질병외)       1  0.000080
