     value  count     ratio
         집 633484 50.671504
       NaN 160525 12.840172
        도로 122134  9.769329
   도로외교통지역 100009  7.999581
      상업시설  76236  6.098012
        기타  47847  3.827215
    의료관련시설  31543  2.523081
    집단거주시설  22121  1.769428
   오락/문화시설  16917  1.353167
   학교/교육시설  13400  1.071847
 바다/강/산/논밭  10699  0.855798
      운동시설   8031  0.642389
공장/산업/건설시설   5880  0.470333
     일차산업장   1257  0.100546
        가정     49  0.003919
      일반도로     23  0.001840
       사무실      7  0.000560
       주택가      6  0.000480
      공공장소      3  0.000240
      숙박시설      2  0.000160
       논.밭      1  0.000080
       공사장      1  0.000080
        병원      1  0.000080
        학교      1  0.000080
      고속도로      1  0.000080
