              value  count     ratio
                NaN 376717 30.133069
               기타통증  76827  6.145285
                 기타  75452  6.035301
                 복통  44615  3.568692
               전신쇠약  33061  2.644503
                 요통  30456  2.436133
                 열상  29537  2.362624
           심정지,호흡정지  26269  2.101221
               어지러움  22219  1.777267
               호흡곤란  18464  1.476910
       기타통증,그밖의통증기타  15152  1.211987
            기타통증,기타  14988  1.198869
                 고열  14878  1.190071
               의식장애  14659  1.172553
                찰과상  11600  0.927868
                 두통  10412  0.832841
                 흉통  10247  0.819643
                타박상   7382  0.590476
            기타,전신쇠약   6754  0.540243
              경련/발작   6180  0.494330
               정신장애   6113  0.488970
            요통,기타통증   5796  0.463614
            고열,전신쇠약   5725  0.457935
                비출혈   5708  0.456575
           기타통증,찰과상   5689  0.455055
                 실신   5658  0.452576
            어지러움,오심   5654  0.452256
             그 밖의출혈   4870  0.389545
         어지러움,오심,구토   4771  0.381626
            어지러움,구토   4708  0.376586
          전신쇠약,어지러움   4238  0.338992
              복통,구토   4235  0.338752
         오심/구토,어지러움   4233  0.338592
            기타통증,열상   4068  0.325394
          그 밖의출혈,열상   3902  0.312116
            찰과상,타박상   3834  0.306676
              고열,기타   3815  0.305157
              오심/구토   3733  0.298597
              복통,설사   3707  0.296518
           복통,오심/구토   3671  0.293638
            기타,어지러움   3543  0.283400
                 골절   3491  0.279240
           기타통증,타박상   3364  0.269082
             열상,찰과상   3350  0.267962
                 염좌   3166  0.253244
                 구토   3112  0.248925
        기타통증,그 밖의출혈   3093  0.247405
     기타통증,그 밖의출혈,열상   3049  0.243885
                 마비   2940  0.235167
            흉통,호흡곤란   2761  0.220849
            호흡곤란,기타   2740  0.219169
          기타통증,전신쇠약   2737  0.218929
               배뇨장애   2712  0.216929
              복통,기타   2561  0.204851
              복통,오심   2511  0.200851
           복통,설사,구토   2430  0.194372
            두통,어지러움   2264  0.181094
            두통,기타통증   2220  0.177575
           복통,오심,구토   2144  0.171496
   기타통증,찰과상,그밖의통증기타   2116  0.169256
        기타통증,열상,찰과상   2110  0.168776
              두통,기타   2095  0.167576
                 경련   2083  0.166616
              기타이물질   2050  0.163977
               심계항진   1989  0.159097
          호흡곤란,전신쇠약   1958  0.156618
            의식장애,기타   1926  0.154058
            복통,기타통증   1883  0.150619
       기타통증,찰과상,타박상   1843  0.147419
    기타통증,그밖의통증기타,기타   1797  0.143740
            호흡곤란,고열   1775  0.141980
        복통,오심/구토,설사   1722  0.137740
                 화상   1718  0.137420
                 탈구   1708  0.136621
          의식장애,호흡곤란   1707  0.136541
        기타통증,찰과상,기타   1693  0.135421
           고열,경련/발작   1679  0.134301
                 토혈   1652  0.132141
            기타통증,고열   1641  0.131261
           복통,설사,오심   1632  0.130541
                심정지   1626  0.130061
            기타통증,골절   1625  0.129981
             찰과상,기타   1609  0.128702
              가슴불편감   1599  0.127902
              오심,구토   1589  0.127102
    요통,기타통증,그밖의통증기타   1585  0.126782
              열상,기타   1485  0.118783
            복통,전신쇠약   1484  0.118703
           오심/구토,기타   1462  0.116943
             열상,타박상   1415  0.113184
         오심/구토,전신쇠약   1387  0.110944
         요통,기타통증,기타   1383  0.110624
   기타통증,그밖의통증기타,타박상   1374  0.109904
              복통,고열   1362  0.108944
            기타통증,염좌   1297  0.103745
         두통,어지러움,오심   1291  0.103265
         고열,기타,전신쇠약   1273  0.101826
            두통,전신쇠약   1230  0.098386
         기타,어지러움,오심   1220  0.097586
            복통,어지러움   1215  0.097186
              기타,마비   1211  0.096866
          의식장애,전신쇠약   1204  0.096306
         호흡곤란,가슴불편감   1193  0.095426
              고열,기침   1170  0.093587
                편마비   1169  0.093507
       전신쇠약,어지러움,오심   1160  0.092787
          기타통증,어지러움   1134  0.090707
              요통,기타   1129  0.090307
                 기침   1066  0.085268
              기타,구토   1036  0.082868
            실신,어지러움   1034  0.082708
            의식장애,고열   1033  0.082628
              두통,오심   1021  0.081668
         열상,찰과상,타박상   1016  0.081268
          그 밖의출혈,기타   1008  0.080629
       기타,전신쇠약,어지러움   1002  0.080149
                 오심    990  0.079189
              복통,변비    981  0.078469
                 혈변    976  0.078069
                 변비    961  0.076869
       기타통증,기타,전신쇠약    948  0.075829
                 설사    912  0.072950
              기타,기침    912  0.072950
    기타통증,그 밖의출혈,찰과상    906  0.072470
           두통,오심/구토    902  0.072150
              두통,고열    899  0.071910
            전신쇠약,구토    895  0.071590
    기타통증,열상,그밖의통증기타    880  0.070390
         기타통증,고열,기타    874  0.069910
        기타통증,기타,타박상    870  0.069590
         두통,기타통증,기타    865  0.069190
       그 밖의출혈,열상,기타    847  0.067750
               기타출혈    808  0.064631
              고열,구토    808  0.064631
              복통,요통    797  0.063751
           고열,기타,기침    796  0.063671
              두통,열상    795  0.063591
         두통,요통,기타통증    788  0.063031
         기타통증,오심/구토    779  0.062311
          호흡곤란,어지러움    773  0.061831
              기타,오심    769  0.061511
         호흡곤란,고열,기타    764  0.061111
    두통,기타통증,그밖의통증기타    758  0.060631
            전신쇠약,설사    755  0.060391
        요통,기타통증,찰과상    749  0.059911
              설사,구토    735  0.058792
         두통,기타,어지러움    722  0.057752
         복통,어지러움,오심    716  0.057272
