      value  count     ratio
        NaN 896974 73.123516
         낙상 136395 11.119254
       단순주취  19764  1.611210
     오토바이사고  16746  1.365175
        보행자  16617  1.354659
         열상  15549  1.267593
         기타  14411  1.174820
        운전자  14373  1.171722
         상해  13830  1.127455
      자전거사고  11504  0.937834
        동승자  10371  0.845469
   기타(사고부상)   9842  0.802344
      기타 둔상   9280  0.756528
         중독   7218  0.588429
    기타(질병외)   6215  0.506662
         추락   5389  0.439324
       기타탈것   3231  0.263399
      동물/곤충   3166  0.258100
         기계   2016  0.164349
       연기흡입   1896  0.154567
         자상   1449  0.118126
          물   1407  0.114702
        임산부   1397  0.113887
    외력에의한압박   1355  0.110463
이물질에대의한기도막힘    978  0.079729
        관통상    731  0.059593
      목부위기타    550  0.044837
         익수    535  0.043615
       온열손상    502  0.040924
         화염    473  0.038560
        고온체    436  0.035544
       화학물질    433  0.035299
         질식    316  0.025761
         미상    261  0.021277
    개인형이동장치    208  0.016957
        열손상    182  0.014837
       전기사고    161  0.013125
        농기계    143  0.011658
         화상    138  0.011250
       한랭손상     94  0.007663
       기타폭행     45  0.003669
    동물/곤충기타     39  0.003179
        신생아     15  0.001223
       자연재해     15  0.001223
        열경련      3  0.000245
        열탈진      2  0.000163
          벌      1  0.000082
