     value  count     ratio
         집 797502 65.014315
        도로  94987  7.743573
   도로외교통지역  86346  7.039137
      상업시설  67153  5.474477
        기타  43135  3.516471
    의료관련시설  41826  3.409758
    집단거주시설  24645  2.009121
       NaN  22119  1.803195
   오락/문화시설  15944  1.299794
   학교/교육시설  11706  0.954302
 바다/강/산/논밭   8008  0.652832
      운동시설   7619  0.621120
공장/산업/건설시설   4526  0.368971
     일차산업장   1071  0.087311
        가정     57  0.004647
      일반도로      6  0.000489
       사무실      3  0.000245
       공사장      2  0.000163
        병원      1  0.000082
