       column  missing_count  missing_ratio  valid_count
30cm 지중온도(°C)          78888     100.000000            0
20cm 지중온도(°C)          78888     100.000000            0
10cm 지중온도(°C)          78888     100.000000            0
 5cm 지중온도(°C)          78888     100.000000            0
 지면상태(지면상태코드)          78888     100.000000            0
   3시간신적설(cm)          78843      99.942957           45
       적설(cm)          78675      99.729997          213
      강수량(mm)          72322      91.676808         6566
    현상번호(국내식)          61897      78.461870        16991
  최저운고(100m )          37108      47.038840        41780
    일사(MJ/m2)          35764      45.335159        43124
       일조(hr)          35755      45.323750        43133
     운형(운형약어)          35010      44.379373        43878
    전운량(10분위)           3206       4.063989        75682
  중하층운량(10분위)            110       0.139438        78778
     지면온도(°C)             57       0.072254        78831
       기온(°C)             41       0.051972        78847
        습도(%)             41       0.051972        78847
    이슬점온도(°C)             21       0.026620        78867
     증기압(hPa)             20       0.025352        78868
    현지기압(hPa)              7       0.008873        78881
    해면기압(hPa)              6       0.007606        78882
      시정(10m)              4       0.005070        78884
     풍향(16방위)              2       0.002535        78886
      풍속(m/s)              2       0.002535        78886
           지점              0       0.000000        78888
           일시              0       0.000000        78888
  source_file              0       0.000000        78888
