       column  missing_count  missing_ratio  valid_count
 지면상태(지면상태코드)          78888     100.000000            0
   3시간신적설(cm)          78883      99.993662            5
       적설(cm)          78881      99.991127            7
      강수량(mm)          71451      90.572711         7437
    현상번호(국내식)          63531      80.533161        15357
  최저운고(100m )          40605      51.471707        38283
    일사(MJ/m2)          36798      46.645878        42090
     운형(운형약어)          36579      46.368269        42309
       일조(hr)          35890      45.494879        42998
    전운량(10분위)           3177       4.027228        75711
 5cm 지중온도(°C)            162       0.205354        78726
     지면온도(°C)            156       0.197749        78732
    해면기압(hPa)            146       0.185073        78742
        습도(%)            135       0.171129        78753
  중하층운량(10분위)            108       0.136903        78780
       기온(°C)             81       0.102677        78807
    현지기압(hPa)             80       0.101410        78808
    이슬점온도(°C)             75       0.095071        78813
      풍속(m/s)             73       0.092536        78815
     풍향(16방위)             73       0.092536        78815
     증기압(hPa)             70       0.088733        78818
20cm 지중온도(°C)             59       0.074790        78829
30cm 지중온도(°C)             42       0.053240        78846
10cm 지중온도(°C)             27       0.034226        78861
      시정(10m)             13       0.016479        78875
           지점              0       0.000000        78888
           일시              0       0.000000        78888
  source_file              0       0.000000        78888
