   value  count     ratio
     NaN  35233 44.662053
      Sc  12509 15.856658
      Ci   9105 11.541679
    ScAs   5556  7.042896
    StNs   3954  5.012169
    ScCi   2511  3.182994
      Ac   1995  2.528902
      St   1419  1.798753
    AcCi   1319  1.671991
    ScAc   1059  1.342409
      As    968  1.227056
    CuSc    536  0.679444
      Cs    534  0.676909
      Cu    279  0.353666
  ScAcCi    273  0.346060
      Cc    264  0.334652
  CbStNs    217  0.275074
    ScCs    191  0.242115
    CuCi    190  0.240848
    AcCs    169  0.214228
  CuScCi    113  0.143241
    ScCc    108  0.136903
    AcCc     47  0.059578
  CuScAs     44  0.055775
  CuScAc     36  0.045634
    CuAc     31  0.039296
    StAs     24  0.030423
  ScAcCs     21  0.026620
  ScAcCc     17  0.021550
  CuAcCi     13  0.016479
CuScAcCi     13  0.016479
    StCi     12  0.015211
    CuCc     12  0.015211
    CcCi     12  0.015211
  CuScNs     11  0.013944
  CuScCc     11  0.013944
    AsCi      8  0.010141
    CbCu      8  0.010141
  CuScCs      7  0.008873
  CbCuNs      6  0.007606
    AsCs      6  0.007606
  ScCcCi      5  0.006338
  ScAsCi      4  0.005070
    CuAs      4  0.005070
    CbSt      4  0.005070
  AcCcCi      4  0.005070
  CbScNs      3  0.003803
    CbSc      3  0.003803
    CsCi      3  0.003803
  CbScAs      2  0.002535
  ScAsCs      2  0.002535
CuScAcCc      2  0.002535
    ScNs      1  0.001268
    StCc      1  0.001268
CuScCcCi      1  0.001268
  CbScCs      1  0.001268
  CuCcCi      1  0.001268
  CuAcCc      1  0.001268
  StAsCi      1  0.001268
    CuCs      1  0.001268
CuScAsCi      1  0.001268
    StAc      1  0.001268
  CuAcCs      1  0.001268
