       column  missing_count  missing_ratio  valid_count
 지면상태(지면상태코드)          78888     100.000000            0
   3시간신적설(cm)          78615      99.653940          273
       적설(cm)          75950      96.275733         2938
      강수량(mm)          70199      88.985651         8689
    현상번호(국내식)          55422      70.254031        23466
  최저운고(100m )          38374      48.643647        40514
    일사(MJ/m2)          35842      45.434033        43046
       일조(hr)          35840      45.431498        43048
     운형(운형약어)          35233      44.662053        43655
    전운량(10분위)           3067       3.887790        75821
  중하층운량(10분위)            226       0.286482        78662
      풍속(m/s)            123       0.155917        78765
     풍향(16방위)            123       0.155917        78765
30cm 지중온도(°C)             51       0.064649        78837
20cm 지중온도(°C)             46       0.058311        78842
10cm 지중온도(°C)             44       0.055775        78844
 5cm 지중온도(°C)             34       0.043099        78854
     지면온도(°C)             32       0.040564        78856
        습도(%)             21       0.026620        78867
    이슬점온도(°C)             19       0.024085        78869
    현지기압(hPa)             18       0.022817        78870
    해면기압(hPa)             17       0.021550        78871
     증기압(hPa)             14       0.017747        78874
       기온(°C)              6       0.007606        78882
           지점              0       0.000000        78888
  source_file              0       0.000000        78888
           일시              0       0.000000        78888
      시정(10m)              0       0.000000        78888
