       column  missing_count  missing_ratio  valid_count
20cm 지중온도(°C)          78888     100.000000            0
30cm 지중온도(°C)          78888     100.000000            0
     운형(운형약어)          78888     100.000000            0
   3시간신적설(cm)          78888     100.000000            0
 지면상태(지면상태코드)          78888     100.000000            0
    현상번호(국내식)          78888     100.000000            0
10cm 지중온도(°C)          78888     100.000000            0
 5cm 지중온도(°C)          78888     100.000000            0
       적설(cm)          75821      96.112210         3067
      강수량(mm)          69362      87.924653         9526
  최저운고(100m )          50371      63.851283        28517
    일사(MJ/m2)          35793      45.371920        43095
       일조(hr)          35758      45.327553        43130
    전운량(10분위)          14288      18.111753        64600
  중하층운량(10분위)          14012      17.761890        64876
      시정(10m)            183       0.231974        78705
     지면온도(°C)            165       0.209157        78723
      풍속(m/s)             37       0.046902        78851
     풍향(16방위)             37       0.046902        78851
        습도(%)             27       0.034226        78861
    해면기압(hPa)             22       0.027888        78866
       기온(°C)             21       0.026620        78867
    이슬점온도(°C)             17       0.021550        78871
     증기압(hPa)             14       0.017747        78874
    현지기압(hPa)             14       0.017747        78874
           지점              0       0.000000        78888
           일시              0       0.000000        78888
  source_file              0       0.000000        78888
