소방서,기온구간,관측N,총출동수,평균출동수,총이송수,평균이송수,평균평균기온
강남소방서,-20 ~ -15,0,0,,0,,
강남소방서,-15 ~ -10,0,0,,0,,
강남소방서,-10 ~ -5,22,1946,88.45454545454545,1419,78.83333333333333,-5.595454545454545
강남소방서,-5 ~ 0,324,32245,99.52160493827161,23353,79.16271186440677,-2.1772582778631167
강남소방서,0 ~ 5,350,38595,110.27142857142857,31747,94.76716417910448,2.484601483129403
강남소방서,5 ~ 10,303,31949,105.44224422442244,26208,86.4950495049505,7.360103874998973
강남소방서,10 ~ 15,358,38221,106.76256983240224,31660,88.43575418994413,12.564044272241246
강남소방서,15 ~ 20,333,38317,115.06606606606607,32519,97.65465465465465,17.578526914010787
강남소방서,20 ~ 25,433,50627,116.92147806004618,42442,98.01847575057737,22.57403089224962
강남소방서,25 ~ 30,418,56068,134.13397129186603,47874,114.5311004784689,27.035025200781305
강남소방서,30 ~ 35,51,7431,145.7058823529412,6532,128.07843137254903,31.172991777356103
강남소방서,35 ~ 40,0,0,,0,,
강동소방서,-20 ~ -15,0,0,,0,,
강동소방서,-15 ~ -10,0,0,,0,,
강동소방서,-10 ~ -5,22,1378,62.63636363636363,1249,69.38888888888889,-5.595454545454545
강동소방서,-5 ~ 0,324,22608,69.77777777777777,20238,68.60338983050848,-2.1772582778631167
강동소방서,0 ~ 5,350,27480,78.51428571428572,27465,81.98507462686567,2.484601483129403
강동소방서,5 ~ 10,303,22626,74.67326732673267,22390,73.89438943894389,7.360103874998973
강동소방서,10 ~ 15,358,26995,75.40502793296089,27413,76.57262569832402,12.564044272241246
강동소방서,15 ~ 20,333,27315,82.02702702702703,27634,82.98498498498499,17.578526914010787
강동소방서,20 ~ 25,433,36023,83.19399538106235,36006,83.15473441108546,22.57403089224962
강동소방서,25 ~ 30,418,39387,94.22727272727273,40004,95.70334928229666,27.035025200781305
강동소방서,30 ~ 35,51,5181,101.58823529411765,5544,108.70588235294117,31.172991777356103
강동소방서,35 ~ 40,0,0,,0,,
노원소방서,-20 ~ -15,0,0,,0,,
노원소방서,-15 ~ -10,0,0,,0,,
노원소방서,-10 ~ -5,22,1688,76.72727272727273,1720,95.55555555555556,-5.595454545454545
노원소방서,-5 ~ 0,324,25048,77.30864197530865,26521,89.90169491525424,-2.1772582778631167
노원소방서,0 ~ 5,350,29949,85.56857142857143,34104,101.80298507462686,2.484601483129403
노원소방서,5 ~ 10,303,24192,79.84158415841584,27956,92.26402640264027,7.360103874998973
노원소방서,10 ~ 15,358,28726,80.24022346368714,33842,94.53072625698324,12.564044272241246
노원소방서,15 ~ 20,333,29428,88.37237237237237,34961,104.98798798798799,17.578526914010787
노원소방서,20 ~ 25,433,38367,88.60739030023095,45757,105.6743648960739,22.57403089224962
노원소방서,25 ~ 30,418,41807,100.01674641148325,50299,120.33253588516746,27.035025200781305
노원소방서,30 ~ 35,51,5457,107.0,6947,136.2156862745098,31.172991777356103
노원소방서,35 ~ 40,0,0,,0,,
수성소방서,-20 ~ -15,0,0,,0,,
수성소방서,-15 ~ -10,0,0,,0,,
수성소방서,-10 ~ -5,0,0,,0,,
수성소방서,-5 ~ 0,167,8411,50.365269461077844,8270,57.03448275862069,-1.6255594801181048
수성소방서,0 ~ 5,361,22745,63.00554016620499,23308,67.55942028985507,2.5148584204202327
수성소방서,5 ~ 10,391,24357,62.294117647058826,25324,66.29319371727749,7.236523913429569
수성소방서,10 ~ 15,363,23085,63.59504132231405,24515,67.53443526170798,12.76784135870646
수성소방서,15 ~ 20,366,23886,65.26229508196721,26643,72.79508196721312,17.598174296360167
수성소방서,20 ~ 25,463,31575,68.19654427645789,35481,76.63282937365011,22.50411368596948
수성소방서,25 ~ 30,400,31316,78.29,35671,89.1775,27.12851890063033
수성소방서,30 ~ 35,81,6648,82.07407407407408,7546,93.1604938271605,31.184547988849065
수성소방서,35 ~ 40,0,0,,0,,
원주소방서,-20 ~ -15,0,0,,0,,
원주소방서,-15 ~ -10,0,0,,0,,
원주소방서,-10 ~ -5,56,3418,61.035714285714285,2974,61.958333333333336,-5.930912606978275
원주소방서,-5 ~ 0,316,20489,64.8386075949367,18673,63.51360544217687,-2.2482957882678565
원주소방서,0 ~ 5,369,25985,70.42005420054201,25267,71.17464788732394,2.6255240512572504
원주소방서,5 ~ 10,305,20917,68.58032786885246,20075,65.81967213114754,7.539566932292712
원주소방서,10 ~ 15,354,25222,71.24858757062147,24016,67.84180790960453,12.505018099206275
원주소방서,15 ~ 20,367,27815,75.79019073569482,26508,72.22888283378747,17.73767074931375
원주소방서,20 ~ 25,456,35819,78.55043859649123,33261,72.9407894736842,22.782587930709234
원주소방서,25 ~ 30,331,32659,98.66767371601209,30101,90.93957703927492,26.96005297370806
원주소방서,30 ~ 35,38,4318,113.63157894736842,3997,105.1842105263158,30.747877758913415
원주소방서,35 ~ 40,0,0,,0,,
해운대소방서,-20 ~ -15,0,0,,0,,
해운대소방서,-15 ~ -10,0,0,,0,,
해운대소방서,-10 ~ -5,0,0,,0,,
해운대소방서,-5 ~ 0,10,426,42.6,411,45.666666666666664,-0.4027764976958526
해운대소방서,0 ~ 5,314,15226,48.49044585987261,12579,43.829268292682926,2.966524641675464
해운대소방서,5 ~ 10,435,24360,56.0,22266,53.01428571428571,7.516627885511665
해운대소방서,10 ~ 15,419,23314,55.64200477326969,21458,51.21241050119332,12.368391015714824
해운대소방서,15 ~ 20,472,27011,57.226694915254235,26001,55.08686440677966,17.310391178809066
해운대소방서,20 ~ 25,547,32543,59.493601462522854,30564,55.875685557586834,22.404124763619144
해운대소방서,25 ~ 30,368,27267,74.09510869565217,25582,69.5163043478261,26.940910764375875
해운대소방서,30 ~ 35,27,2309,85.51851851851852,2361,87.44444444444444,30.651612903225807
해운대소방서,35 ~ 40,0,0,,0,,
