월,관측N,평균기온,총출동수,평균출동수,총이송수,평균이송수
1,1296,-0.0555804460374353,99895,77.07947530864197,87191,75.16465517241379
2,1296,2.1034484659125465,88582,68.3503086419753,80813,70.02859618717504
3,1296,8.492712149873888,100506,77.55092592592592,87324,67.37962962962963
4,1296,13.881925198666098,98109,75.70138888888889,98257,75.81558641975309
5,1296,18.602944928307963,104735,80.81404320987654,105170,81.1496913580247
6,1296,23.17966390553103,105092,81.0895061728395,104382,80.54166666666667
7,1296,26.540467028408337,115770,89.32870370370371,114706,88.50771604938272
8,1296,27.13124576861808,118132,91.15123456790124,118688,91.58024691358025
9,1296,22.647648467432948,107441,82.9020061728395,107981,83.31867283950618
10,1296,15.817160742731978,103986,80.23611111111111,105634,81.50771604938272
11,1296,8.982902298850574,100849,77.81558641975309,105109,81.10262345679013
12,1296,1.1877803497942385,107078,82.62191358024691,111401,85.95756172839506
