소방서,평균기온,출동수 IRR,출동수 증감률,출동수 95% CI (포아송),출동수 95% CI (음이항),이송수 IRR,이송수 증감률,이송수 95% CI (포아송),이송수 95% CI (음이항)
강남소방서,-5.0,1.014,+1.4%,0.989 - 1.027,0.986 - 1.043,0.969,-3.1%,0.959 - 1.000,0.932 - 1.007
강남소방서,0.0,0.977,-2.3%,0.968 - 0.986,0.964 - 0.990,0.963,-3.7%,0.958 - 0.976,0.945 - 0.981
강남소방서,25.0,1.087,+8.7%,1.078 - 1.093,1.076 - 1.099,1.091,+9.1%,1.084 - 1.100,1.075 - 1.107
강남소방서,30.0,1.129,+12.9%,1.116 - 1.147,1.104 - 1.154,1.153,+15.3%,1.138 - 1.172,1.118 - 1.190
강남소방서,33.0,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖
강동소방서,-5.0,0.980,-2.0%,0.958 - 1.002,0.950 - 1.011,0.980,-2.0%,0.969 - 1.013,0.942 - 1.020
강동소방서,0.0,0.964,-3.6%,0.956 - 0.976,0.950 - 0.978,0.971,-2.9%,0.969 - 0.989,0.953 - 0.990
강동소방서,25.0,1.080,+8.0%,1.070 - 1.087,1.068 - 1.093,1.080,+8.0%,1.069 - 1.086,1.063 - 1.096
강동소방서,30.0,1.123,+12.3%,1.105 - 1.142,1.096 - 1.150,1.135,+13.5%,1.115 - 1.151,1.100 - 1.172
강동소방서,33.0,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖
노원소방서,-5.0,1.064,+6.4%,1.043 - 1.088,1.032 - 1.096,1.068,+6.8%,1.058 - 1.101,1.027 - 1.110
노원소방서,0.0,0.999,-0.1%,0.992 - 1.012,0.985 - 1.013,0.994,-0.6%,0.991 - 1.009,0.976 - 1.013
노원소방서,25.0,1.079,+7.9%,1.069 - 1.086,1.067 - 1.091,1.097,+9.7%,1.087 - 1.103,1.081 - 1.113
노원소방서,30.0,1.107,+10.7%,1.090 - 1.125,1.081 - 1.133,1.131,+13.1%,1.112 - 1.145,1.097 - 1.167
노원소방서,33.0,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖
수성소방서,-5.0,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖
수성소방서,0.0,0.965,-3.5%,0.952 - 0.983,0.945 - 0.985,0.968,-3.2%,0.965 - 0.994,0.944 - 0.994
수성소방서,25.0,1.071,+7.1%,1.059 - 1.079,1.058 - 1.085,1.111,+11.1%,1.100 - 1.120,1.093 - 1.129
수성소방서,30.0,1.107,+10.7%,1.088 - 1.123,1.082 - 1.132,1.137,+13.7%,1.119 - 1.153,1.104 - 1.171
수성소방서,33.0,1.127,+12.7%,1.097 - 1.159,1.085 - 1.171,1.134,+13.4%,1.103 - 1.161,1.080 - 1.192
해운대소방서,-5.0,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖
해운대소방서,0.0,0.974,-2.6%,0.940 - 1.004,0.934 - 1.016,0.993,-0.7%,0.969 - 1.037,0.942 - 1.047
해운대소방서,25.0,1.149,+14.9%,1.133 - 1.158,1.133 - 1.167,1.141,+14.1%,1.124 - 1.150,1.119 - 1.163
해운대소방서,30.0,1.335,+33.5%,1.304 - 1.360,1.297 - 1.375,1.252,+25.2%,1.230 - 1.283,1.205 - 1.301
해운대소방서,33.0,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖
원주소방서,-5.0,0.992,-0.8%,0.974 - 1.014,0.965 - 1.020,1.026,+2.6%,1.008 - 1.050,0.990 - 1.063
원주소방서,0.0,0.981,-1.9%,0.973 - 0.994,0.967 - 0.995,0.999,-0.1%,0.994 - 1.016,0.980 - 1.018
원주소방서,25.0,1.156,+15.6%,1.143 - 1.162,1.142 - 1.170,1.107,+10.7%,1.091 - 1.110,1.089 - 1.125
원주소방서,30.0,1.310,+31.0%,1.283 - 1.331,1.275 - 1.346,1.201,+20.1%,1.172 - 1.218,1.158 - 1.246
원주소방서,33.0,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖,관측범위 밖
