지표,소방서,기온구간,연령대,건수,관측N,시간당평균건수,구성비
이송수,강남소방서,-10 ~ -5,10대,83,18,4.611111111111111,6.076134699853587
이송수,강남소방서,-10 ~ -5,20대,157,18,8.722222222222221,11.493411420204978
이송수,강남소방서,-10 ~ -5,30대,144,18,8.0,10.54172767203514
이송수,강남소방서,-10 ~ -5,40대,140,18,7.777777777777778,10.248901903367496
이송수,강남소방서,-10 ~ -5,50대,158,18,8.777777777777779,11.566617862371888
이송수,강남소방서,-10 ~ -5,60대,206,18,11.444444444444445,15.080527086383603
이송수,강남소방서,-10 ~ -5,70대,263,18,14.61111111111111,19.25329428989751
이송수,강남소방서,-10 ~ -5,80세 이상,137,18,7.611111111111111,10.029282576866764
이송수,강남소방서,-10 ~ -5,9세 이하,39,18,2.1666666666666665,2.855051244509517
이송수,강남소방서,-10 ~ -5,미상,39,18,2.1666666666666665,2.855051244509517
이송수,강남소방서,-5 ~ 0,10대,856,295,2.9016949152542373,3.7827566397101067
이송수,강남소방서,-5 ~ 0,20대,2979,295,10.098305084745762,13.164523399178046
이송수,강남소방서,-5 ~ 0,30대,2636,295,8.935593220338983,11.648769278359627
이송수,강남소방서,-5 ~ 0,40대,2380,295,8.067796610169491,10.517477573025763
이송수,강남소방서,-5 ~ 0,50대,2673,295,9.061016949152542,11.812276282646161
이송수,강남소방서,-5 ~ 0,60대,3376,295,11.44406779661017,14.918909364090327
이송수,강남소방서,-5 ~ 0,70대,3464,295,11.742372881355932,15.307790887798841
이송수,강남소방서,-5 ~ 0,80세 이상,2809,295,9.522033898305084,12.413275001104777
이송수,강남소방서,-5 ~ 0,9세 이하,552,295,1.8711864406779661,2.439347739626143
이송수,강남소방서,-5 ~ 0,미상,904,295,3.064406779661017,3.994873834460206
이송수,강남소방서,0 ~ 5,10대,1219,335,3.638805970149254,3.9699081612714124
이송수,강남소방서,0 ~ 5,20대,3535,335,10.552238805970148,11.512407998436787
이송수,강남소방서,0 ~ 5,30대,3377,335,10.080597014925374,10.997850582947958
이송수,강남소방서,0 ~ 5,40대,3094,335,9.235820895522387,10.076206604572397
이송수,강남소방서,0 ~ 5,50대,3668,335,10.949253731343283,11.94554810134827
이송수,강남소방서,0 ~ 5,60대,4474,335,13.355223880597014,14.57044225884192
이송수,강남소방서,0 ~ 5,70대,5055,335,15.08955223880597,16.46258060313945
이송수,강남소방서,0 ~ 5,80세 이상,4019,335,11.997014925373135,13.088647169934214
이송수,강남소방서,0 ~ 5,9세 이하,638,335,1.9044776119402984,2.0777698169738814
이송수,강남소방서,0 ~ 5,미상,1627,335,4.856716417910448,5.298638702533707
이송수,강남소방서,5 ~ 10,10대,1030,303,3.3993399339933994,4.052246439531041
이송수,강남소방서,5 ~ 10,20대,3337,303,11.013201320132014,13.128491620111731
이송수,강남소방서,5 ~ 10,30대,3202,303,10.567656765676567,12.59737194114407
이송수,강남소방서,5 ~ 10,40대,2685,303,8.861386138613861,10.56338028169014
이송수,강남소방서,5 ~ 10,50대,2898,303,9.564356435643564,11.401369108505783
이송수,강남소방서,5 ~ 10,60대,3488,303,11.511551155115512,13.722558816586671
이송수,강남소방서,5 ~ 10,70대,3871,303,12.775577557755776,15.229365016917146
이송수,강남소방서,5 ~ 10,80세 이상,2981,303,9.838283828382838,11.72790935557479
이송수,강남소방서,5 ~ 10,9세 이하,617,303,2.036303630363036,2.4274136438744196
이송수,강남소방서,5 ~ 10,미상,1309,303,4.32013201320132,5.149893776064206
이송수,강남소방서,10 ~ 15,10대,1348,358,3.7653631284916202,4.375770953710316
이송수,강남소방서,10 ~ 15,20대,3961,358,11.064245810055866,12.857884827630981
이송수,강남소방서,10 ~ 15,30대,3513,358,9.812849162011172,11.403622670908264
이송수,강남소방서,10 ~ 15,40대,3221,358,8.997206703910615,10.455755372330065
이송수,강남소방서,10 ~ 15,50대,3452,358,9.64245810055866,11.205609296890216
이송수,강남소방서,10 ~ 15,60대,4388,358,12.256983240223464,14.24397844575732
이송수,강남소방서,10 ~ 15,70대,5046,358,14.094972067039107,16.379925988443812
이송수,강남소방서,10 ~ 15,80세 이상,3729,358,10.416201117318435,12.10478478218529
이송수,강남소방서,10 ~ 15,9세 이하,900,358,2.5139664804469275,2.9215087969876
이송수,강남소방서,10 ~ 15,미상,1248,358,3.4860335195530725,4.051158865156138
이송수,강남소방서,15 ~ 20,10대,1485,333,4.45945945945946,4.707262180239009
이송수,강남소방서,15 ~ 20,20대,3876,333,11.63963963963964,12.286429771452118
이송수,강남소방서,15 ~ 20,30대,3716,333,11.15915915915916,11.779250007924684
이송수,강남소방서,15 ~ 20,40대,3492,333,10.486486486486486,11.069198338986276
이송수,강남소방서,15 ~ 20,50대,3801,333,11.414414414414415,12.048689257298633
이송수,강남소방서,15 ~ 20,60대,4435,333,13.318318318318319,14.058389070276094
이송수,강남소방서,15 ~ 20,70대,4798,333,14.408408408408409,15.209053158778966
이송수,강남소방서,15 ~ 20,80세 이상,3819,333,11.468468468468469,12.10574698069547
이송수,강남소방서,15 ~ 20,9세 이하,938,333,2.8168168168168166,2.973341363679589
이송수,강남소방서,15 ~ 20,미상,1187,333,3.5645645645645647,3.762639870669161
이송수,강남소방서,20 ~ 25,10대,1901,433,4.390300230946882,4.612398398641272
이송수,강남소방서,20 ~ 25,20대,5727,433,13.226327944572748,13.895426422419021
이송수,강남소방서,20 ~ 25,30대,5102,433,11.782909930715935,12.378988232439646
이송수,강남소방서,20 ~ 25,40대,4192,433,9.681293302540416,10.171054227829673
이송수,강남소방서,20 ~ 25,50대,4840,433,11.177829099307159,11.743297343200291
이송수,강남소방서,20 ~ 25,60대,5712,433,13.191685912240185,13.859031905859517
이송수,강남소방서,20 ~ 25,70대,6209,433,14.339491916859123,15.064903554531117
이송수,강남소방서,20 ~ 25,80세 이상,4666,433,10.775981524249422,11.321120951110032
이송수,강남소방서,20 ~ 25,9세 이하,1178,433,2.720554272517321,2.8581827004731286
이송수,강남소방서,20 ~ 25,미상,1688,433,3.8983833718244805,4.0955962634963
이송수,강남소방서,25 ~ 30,10대,2084,418,4.985645933014354,4.499330713761389
이송수,강남소방서,25 ~ 30,20대,5965,418,14.270334928229666,12.878362623602055
이송수,강남소방서,25 ~ 30,30대,5545,418,13.26555023923445,11.971587719677016
이송수,강남소방서,25 ~ 30,40대,4825,418,11.543062200956937,10.417116455805518
이송수,강남소방서,25 ~ 30,50대,5594,418,13.382775119617225,12.077378125134937
이송수,강남소방서,25 ~ 30,60대,6495,418,15.538277511961722,14.022626192840795
이송수,강남소방서,25 ~ 30,70대,6611,418,15.81578947368421,14.273068785353427
이송수,강남소방서,25 ~ 30,80세 이상,5808,418,13.894736842105264,12.53940152856341
이송수,강남소방서,25 ~ 30,9세 이하,1213,418,2.901913875598086,2.6188522820501747
이송수,강남소방서,25 ~ 30,미상,2178,418,5.2105263157894735,4.702275573211279
이송수,강남소방서,30 ~ 35,10대,308,51,6.03921568627451,4.8734177215189876
이송수,강남소방서,30 ~ 35,20대,740,51,14.509803921568627,11.708860759493671
이송수,강남소방서,30 ~ 35,30대,692,51,13.568627450980392,10.949367088607595
이송수,강남소방서,30 ~ 35,40대,593,51,11.627450980392156,9.382911392405063
이송수,강남소방서,30 ~ 35,50대,779,51,15.27450980392157,12.325949367088608
이송수,강남소방서,30 ~ 35,60대,850,51,16.666666666666668,13.449367088607595
이송수,강남소방서,30 ~ 35,70대,989,51,19.392156862745097,15.64873417721519
이송수,강남소방서,30 ~ 35,80세 이상,896,51,17.568627450980394,14.177215189873419
이송수,강남소방서,30 ~ 35,9세 이하,140,51,2.7450980392156863,2.2151898734177213
